Taxon,log x,log y
"""Monquirasaurus""_boyacensis",1.041392685,-0.136914607
Abyssosaurus_nataliae,1.707570176,-1.015918334
Archaeonectrus_rostratus,1.414973348,-0.389696035
Attenborosaurus_conybeari,1.579783597,-0.71593679
Atychodracon_megacephalus,1.477121255,-0.458885578
Brachauchenius_lucasi,1.113943352,-0.207404302
Brancasaurus_brancai_composite_,1.568201724,-0.77958504
Callawayasaurus_colombiensis,1.763427994,-1.087029605
Cryptoclidus_eurymerus,1.505149978,-0.698970004
Dolichorhynchops_osborni,1.278753601,-0.337546829
Edgarosaurus_muddi,1.414973348,-0.492098411
Hauffiosaurus_tomistomimus,1.531478917,-0.616951547
Hydralmosaurus_serpentinus,1.799340549,-1.177831921
Hydrotherosaurus_alexandrae,1.77815125,-1.163113784
Kaiwhekea_katiki,1.633468456,-0.775810035
Kronosaurus_queenslandicus,1.113943352,-0.200446407
Libonectes_morgani_composite_SK,1.792391689,-1.132523282
Liopleurodon_ferox,1.342422681,-0.306304071
Luskhan_itilensis,1.176091259,-0.212839976
Macroplata_tenuiceps,1.414973348,-0.475497722
Meyerasaurus_victor,1.477121255,-0.506248995
Microcleidus_homalospondylus,1.602059991,-0.910776816
Microcleidus_tournemirensis,1.633468456,-0.958850452
Muraenosaurus_leedsii,1.643452676,-0.961997974
Nakonanectes_bradti,1.62324929,-0.885752931
Nichollssaura_borealis,1.380211242,-0.559062439
Ophthalmothule_cryostea,1.698970004,-1.080466142
Peloneustes_philarchus,1.322219295,-0.296643145
Plesiopterys_wildi_type,1.591064607,-0.83534773
Plesiosaurus_dolichodeirus,1.568201724,-0.838687673
Rhomaleosaurus_cramptoni,1.447158031,-0.459705349
Sachicasaurus_vitae,1.079181246,-0.163974962
Serpentisuchops_pfisterae,1.505149978,-0.562292864
Simolestes_vorax,1.322219295,-0.415772786
Styxosaurus_SDSM_451,1.785329835,-1.202176827
Thalassiodracon_hawkinsii,1.491361694,-0.664420735
Thalassomedon_haningtoni,1.792391689,-1.142217648
Thaumatodracon_wiedenrothi,1.431363764,-0.464731665
Thililua_longicollis,1.477121255,-0.574557366
Trinacromerum_bentonianum,1.301029996,-0.289193145
