Taxon,Trunk,Rib
Macroplata_tenuiceps,1168,512
Avalonnectes_arturi,735,277
Atychodracon_megacephalus,1578,760
Rhomaleosaurus_cramptoni,2200,1010
Archaeonectrus_rostratus,970,300
Peloneustes_philarchus,1483,580
Sachicasaurus_vitae,3775,1267
Stenorhynchosaurus_munozi,2077,665
Kronosaurus_boyacensis,3010,1185
Liopleurodon_ferox,2061,570
Plesiosaurus_dolichodeirus,760,289
Seeleyosaurus_MB_specimen,728,282
Microcleidus_homalospondylus,1340,427
Cryptoclidus_eurymerus,1133,335
Abyssosaurus_nataliae,1853,565
Tatenectes_laramiensis,980,296
Nichollssaura_borealis,1188,446
Dolichorhynchops_osborni,1056,274
Mauriciosaurus_fernandezi,588,186
Wapuskanectes_betsynichollsae,1696,514
Kaiwhekea_katiki,1950,650
Albertonectes_vanderveldei,2205,737
Vegasaurus_molyi,1414,440
Hydrotherosaurus_alexandrae,1888,570
